country,region,income,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,flfp,enroll_fem,internet_total,urban_pct,gii,log_gdp
Malaysia,East Asia & Pacific,Upper middle income,Findex 2024,2024,86.7899140840487,86.9869744526902,0.19706036864150175,0.9977345991180704,34116.2317848885,51.617,81.5357622372136,98.0206059,76.9170296648992,0.172,10.437528555438917
Maldives,South Asia,Upper middle income,ITU,2022,95.4996,76.3672,-19.132400000000004,1.2505316418567134,21357.8112511153,40.171,79.1463748290014,83.91189054,41.0641769690663,0.312,9.969172818306697
Mali,Sub-Saharan Africa,Low income,Findex 2024,2024,40.2577120775445,51.89978162812841,11.642069550583912,0.7756817237883291,2917.93245883671,53.093,37.1307560416794,36.80149841,31.6075621182225,0.612,7.978630582425785
Mauritania,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,56.868861475398006,63.0358034462749,6.166941970876891,0.9021676311918044,6482.69016635936,26.239,NA,45.77939987,60.6068586411829,0.603,8.776890852325295
Mauritius,Sub-Saharan Africa,Upper middle income,Findex 2024,2024,72.52228635754689,81.8795022489415,9.357215891394617,0.8857196778878125,27844.8956114831,47.45,93.386946088039707,73.30793533,39.0162147027917,0.352,10.234404947102506
Mexico,Latin America & Caribbean,Upper middle income,Findex 2024,2024,75.0329196140232,80.223490209757,5.190570595733803,0.9352986191181382,21970.3520412926,47.414,109.978668212891,83.12233799,79.7538805976118,0.358,9.99744918897775
Moldova,Europe & Central Asia,Upper middle income,Findex 2024,2024,78.4476080555429,78.9328388646456,0.48523080910270266,0.9938526117129174,16393.8633257184,72.177,99.3201300620751,77.3687973,43.516471862793,0.146,9.7046623563305
Mongolia,East Asia & Pacific,Upper middle income,Findex 2024,2024,89.3895999138167,84.1034367824934,-5.286163131323292,1.0628531167518669,16842.6505873797,52.1,99.3672996596348,85.12349701,70.9566040039062,0.284,9.731669673710963
Montenegro,Europe & Central Asia,Upper middle income,Findex 2024,2024,83.5590009948296,84.0833595279969,0.5243585331673017,0.9937638251360222,28105.5927726624,51.429,95.1452331542969,88.88258428,65.5422314706266,0.121,10.243723866573387
Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,62.5741953255187,67.0874382689856,4.513242943466892,0.9327259609262296,9162.7470703125,19.827,91.2537211746273,91.2,62.7998124018197,0.438,9.12290131121334
Mozambique,Sub-Saharan Africa,Low income,Findex 2024,2024,19.9924298970031,34.2792504258028,14.2868205287997,0.5832224931603034,1500.70758504856,77.206,NA,20.52729988,36.4332337447237,0.479,7.313691999229519
Namibia,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,56.482743063166794,56.3272762042508,-0.1554668589159931,1.0027600634966307,10276.3686426386,54.911,86.3728889011327,64.87460327,50.4088030252155,0.448,9.237602231723974
Nepal,South Asia,Lower middle income,Findex 2024,2024,42.8937188618155,58.1252147558964,15.2314958940809,0.7379537270004535,5047.42449022702,27.378,90.8899312933145,46.32189941,66.772343163029,0.487,8.52663339023894
Nicaragua,Latin America & Caribbean,Lower middle income,Findex 2024,2024,73.99344674642539,75.52634571124919,1.5328989648238007,0.9797037848132576,7661.09410113202,51.082,70.6665573120117,61.39550018,59.2628402709961,0.408,8.943910085580924
Niger,Sub-Saharan Africa,Low income,Findex 2024,2024,13.8526009917283,17.368586929098402,3.515985937370102,0.7975663793650589,1795.65266888022,72.787,19.5379934744263,15.55760002,18.0497398450803,0.591,7.4931238386675165
Nigeria,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,30.7420091731215,44.7330371509359,13.991027977814401,0.6872327731603245,7994.03754470824,80.714,47.4061508178711,41.21139908,62.9755675573659,0.677,8.986451235871227
North Macedonia,Europe & Central Asia,Upper middle income,Findex 2024,2024,82.6686781063551,83.7253662193202,1.056688112965091,0.9873791162621244,24203.1855800189,42.884,90.173713684082,93.6,62.5645376928533,0.112,10.094239539019553
Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,13.5958682033155,57.2070113868114,43.6111431834959,0.23766087187085452,5502.0736120186,23.989,46.4835415439493,57.253,39.1734368360905,0.536,8.612880320533261
Paraguay,Latin America & Caribbean,Upper middle income,Findex 2024,2024,85.1987430060085,82.41513736373331,-2.783605642275191,1.0337754171298648,16367.4940166481,58.944,80.8023312507795,81.57806793,69.8622585886961,0.412,9.70305257475221
Peru,Latin America & Caribbean,Upper middle income,Findex 2024,2024,74.2530023953768,82.0920576047654,7.839055209388604,0.9045089690999102,15708.8329440963,64.939,108.98267364502,81.95705992,85.1912729600355,0.34,9.661978441036132
Philippines,East Asia & Pacific,Upper middle income,Findex 2024,2024,74.0385936256926,67.2754891544764,-6.763104471216195,1.1005285068338473,10378.1717703535,50.511,86.1154588164975,67.26300914,55.4520983215477,0.351,9.247460011183417
Senegal,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,67.7558018877377,72.6808466849973,4.925044797259602,0.9322373772198196,4477.81736836258,37.99,50.2150531512901,60.11780167,55.2368169057304,0.49,8.406891012129275
Serbia,Europe & Central Asia,Upper middle income,Findex 2024,2024,77.39707013888109,81.24674439565061,3.849674256769518,0.95261749519436,26900.7415340646,52.619,88.5398788452148,87.69071294,62.3830029804177,0.117,10.19990913153209
