iso3,country,region,income,ref_year_itu,internet_female_itu,internet_male_itu,gap_diff_itu,gap_ratio_itu,internet_female_fx,internet_male_fx,gap_diff_fx,gap_ratio_fx,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,gdp_pc_ppp_year,gdp_pc_const,gdp_pc_const_year,flfp,flfp_year,sec_enroll_fem_gross,sec_enroll_fem_gross_year,sec_enroll_fem_net,sec_enroll_fem_net_year,urban_pct,urban_pct_year,gii,gii_year,internet_total,internet_total_year,population,population_year,log_gdp,is_outlier
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2021,63.7076,68.3228,4.6152000000000015,0.9324500752311088,76.7675833910171,81.5395143628361,4.771930971819003,0.9414770739179932,Findex 2024,2024,76.7675833910171,81.5395143628361,4.771930971819003,0.9414770739179932,11329.1518061536,2024,3045.61476620329,2024,72.389,2024,90.2157592773438,2024,NA,NA,71.2361453773988,2024,0.419,2023,79.70469666,2024,12413315,2024,9.335134488567771,FALSE
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2024,84.716,87.3019,2.5859000000000094,0.9703797970032724,84.3440476051407,85.2644495914279,0.920401986287203,0.9892053254234608,Findex 2024,2024,84.3440476051407,85.2644495914279,0.920401986287203,0.9892053254234608,20578.4995446816,2024,6746.95366547249,2024,39.399,2024,90.4367218017578,2023,NA,NA,52.1224302754935,2024,0.157,2023,86.10091103,2024,3164253,2024,9.932002098308402,FALSE
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2024,57.9562,56.895,-1.0611999999999997,1.0186519026276477,42.5673637875476,52.9074520720645,10.340088284516902,0.8045627245395826,Findex 2024,2024,42.5673637875476,52.9074520720645,10.340088284516902,0.8045627245395826,18107.614452913,2024,6952.34770386661,2024,63.45,2024,74.0652465820312,2021,NA,NA,67.4623537838418,2024,0.49,2023,57.45950036,2024,2521139,2024,9.804087816795771,FALSE
BRA,Brazil,Latin America & Caribbean,Upper middle income,2024,83.7948,85.1736,1.3787999999999982,0.9838118853729324,87.0103314853866,88.1356844757874,1.125352990400799,0.9872315850600792,Findex 2024,2024,87.0103314853866,88.1356844757874,1.125352990400799,0.9872315850600792,19652.365499171,2024,9566.74518687619,2024,53.576,2024,105.251502990723,2024,NA,NA,87.8958549533146,2024,0.39,2023,84.46347227,2024,211998573,2024,9.88595299168932,FALSE
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2019,6.61695,12.2789,5.66195,0.5388878482600233,20.243463552189,43.7570577199066,23.5135941677176,0.46263310668120056,Findex 2024,2024,20.243463552189,43.7570577199066,23.5135941677176,0.46263310668120056,2548.50247702504,2024,764.082625588818,2024,64.113,2024,33.2389182465594,2024,NA,NA,28.3352514896662,2024,0.555,2023,28.25270081,2024,23548781,2024,7.84326120173373,FALSE
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2019,60.965,62.9212,1.9561999999999955,0.9689103195743248,NA,NA,NA,NA,ITU,2019,60.965,62.9212,1.9561999999999955,0.9689103195743248,9111.62993173269,2019,4115.90283469406,2019,50.407,2019,103.593505622998,2019,74.47218,2018,71.6254285086577,2019,0.337,2019,61.9433977593088,2019,514104,2019,9.117306891015698,FALSE
KHM,Cambodia,East Asia & Pacific,Lower middle income,2019,51.712,52.9595,1.2474999999999952,0.9764442640130668,80.24413927426221,81.8716842466113,1.6275449723490851,0.9801207830603968,Findex 2024,2024,80.24413927426221,81.8716842466113,1.6275449723490851,0.9801207830603968,7011.58146903703,2024,2183.55682401667,2024,77.299,2024,63.098667348683,2024,NA,NA,40.8727033252729,2024,0.506,2023,68.47530365,2024,17638801,2024,8.85531855644414,FALSE
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,39.2762934059602,53.6587402120187,14.382446806058496,0.7319645084988958,Findex 2024,2024,39.2762934059602,53.6587402120187,14.382446806058496,0.7319645084988958,4916.93354019494,2024,1480.73097431993,2024,57.104,2024,42.4944197803389,2023,NA,NA,55.4031748609078,2024,0.558,2023,46.25880051,2024,29123744,2024,8.500440350988468,FALSE
TCD,Chad,Sub-Saharan Africa,Low income,NA,NA,NA,NA,NA,7.48358262952616,15.4636331220705,7.980050492544339,0.4839472438624532,Findex 2024,2024,7.48358262952616,15.4636331220705,7.980050492544339,0.4839472438624532,2430.73298355271,2024,855.999353179333,2024,47.554,2024,19.4390107130432,2024,NA,NA,26.9315292389497,2024,0.67,2023,12.62689972,2024,20299123,2024,7.795948130172703,FALSE
CHN,China,East Asia & Pacific,Upper middle income,2023,77.3218,77.6366,0.3148000000000053,0.9959452114080214,89.18184218129271,83.4270366576645,-5.754805523628207,1.0689801023047545,Findex 2024,2024,89.18184218129271,83.4270366576645,-5.754805523628207,1.0689801023047545,23841.4769141817,2024,13119.1076099516,2024,59.448,2024,NA,NA,NA,NA,65.8946980998325,2024,0.132,2023,92,2024,1408975000,2024,10.079182070358621,FALSE
COL,Colombia,Latin America & Caribbean,Upper middle income,2024,80.067,78.5814,-1.485599999999991,1.0189052371171805,79.8621723567329,81.5851669250381,1.7229945683051966,0.9788810315251508,Findex 2024,2024,79.8621723567329,81.5851669250381,1.7229945683051966,0.9788810315251508,18481.8374929368,2024,6865.31283944628,2024,51.719,2024,103.587738037109,2022,NA,NA,78.5210811866115,2024,0.393,2023,79.34543299,2024,52886363,2024,9.824543771688672,FALSE
COM,Comoros,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,37.4067759712482,50.172935771786896,12.766159800538697,0.7455568504381335,Findex 2024,2024,37.4067759712482,50.172935771786896,12.766159800538697,0.7455568504381335,3556.0384263801,2024,1402.52614298112,2024,47.126,2024,56.4125595092773,2022,NA,NA,33.5392215673301,2024,0.501,2023,32.51750183,2024,866628,2024,8.176402402644054,FALSE
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,NA,NA,NA,NA,NA,25.3433773454454,38.3761022637725,13.0327249183271,0.6603947730608861,Findex 2024,2024,25.3433773454454,38.3761022637725,13.0327249183271,0.6603947730608861,1601.70926640422,2024,554.117609962628,2024,61.886,2024,42.9527015686035,2021,NA,NA,44.7455804408753,2024,0.604,2023,19.67350006,2024,109276265,2024,7.378826629513212,FALSE
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,27.46899558145,40.4232997280092,12.954304146559195,0.679533728475333,Findex 2024,2024,27.46899558145,40.4232997280092,12.954304146559195,0.679533728475333,6152.5650911844205,2024,1671.7266018229,2024,65.604,2024,NA,NA,NA,NA,63.8866111699904,2024,0.565,2023,47.25159836,2024,6332961,2024,8.724624361841009,FALSE
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2024,38.2892,44.5221,6.232900000000001,0.8600043573865563,40.966867939264304,53.2761144004238,12.309246461159496,0.7689537497302622,Findex 2024,2024,40.966867939264304,53.2761144004238,12.309246461159496,0.7689537497302622,6747.0379677706,2024,2395.65916961845,2024,59.465,2024,64.4785040152839,2024,NA,NA,53.9733113940142,2024,0.589,2023,41.43219902,2024,31934230,2024,8.816858867967543,FALSE
CUB,Cuba,Latin America & Caribbean,Upper middle income,2019,75.1128,60.7326,-14.380199999999997,1.2367789292735696,NA,NA,NA,NA,ITU,2019,75.1128,60.7326,-14.380199999999997,1.2367789292735696,NA,NA,8124.75282059108,2019,44.687,2019,101.62084197998,2019,86.70001,2018,77.0728225708008,2019,0.304,2019,67.9708086565152,2019,11202846,2019,NA,FALSE
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2024,91.2981,90.6907,-0.6073999999999984,1.0066974893787346,91.0809841088496,87.52965779346489,-3.5513263153847134,1.0405728344530312,Findex 2024,2024,91.0809841088496,87.52965779346489,-3.5513263153847134,1.0405728344530312,24229.8894872915,2024,9168.45418897141,2024,53.266,2024,80.5245385688015,2024,NA,NA,72.4121874752151,2024,0.417,2023,91.0022446,2024,11427557,2024,10.095342252813438,FALSE
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2024,78.153,76.1506,-2.0024000000000086,1.0262952622828974,79.8016741068429,86.0059082449953,6.204234138152401,0.927862698449982,Findex 2024,2024,79.8016741068429,86.0059082449953,6.204234138152401,0.927862698449982,13922.4222780744,2024,5993.74697758454,2024,52.394,2024,94.1827583420861,2023,NA,NA,63.2376932397602,2024,0.358,2023,77.17273115,2024,18135478,2024,9.541255932979174,FALSE
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2022,65.188,79.2587,14.070700000000002,0.8224712239791973,43.94768181141,65.5887796650037,21.6410978535937,0.6700487802315254,Findex 2024,2024,43.94768181141,65.5887796650037,21.6410978535937,0.6700487802315254,16798.151577838,2024,4137.6092923313,2024,18.468,2024,83.9216814420657,2024,NA,NA,42.8004363938404,2024,0.398,2023,74.64839935,2024,116538258,2024,9.729024134209451,FALSE
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2020,52.3743,57.1996,4.825299999999999,0.9156410184686606,79.80084415144209,82.1676751398466,2.3668309884045016,0.9711951082420645,Findex 2024,2024,79.80084415144209,82.1676751398466,2.3668309884045016,0.9711951082420645,11647.0234480127,2024,4576.55846613444,2024,48.957,2024,61.1295384065253,2024,NA,NA,75.0674905102199,2024,0.362,2023,66.47769928,2024,6338193,2024,9.362805928324004,FALSE
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,46.5484245936459,58.153150031123005,11.604725437477107,0.8004454542657384,Findex 2024,2024,46.5484245936459,58.153150031123005,11.604725437477107,0.8004454542657384,10386.2145717572,2024,3866.37127926695,2024,48.422,2024,NA,NA,NA,NA,26.2498461258639,2024,0.484,2023,63.40309906,2024,1242822,2024,9.248234683901735,FALSE
ETH,Ethiopia,Sub-Saharan Africa,Low income,2021,13.7072,19.7244,6.017199999999999,0.6949362211271319,7.16518566083912,20.8579218877955,13.69273622695638,0.3435234679362594,Findex 2024,2024,7.16518566083912,20.8579218877955,13.69273622695638,0.3435234679362594,2892.22220162795,2024,883.458588614999,2024,58.391,2024,NA,NA,NA,NA,23.6222839355469,2024,0.497,2023,21.94129944,2024,132059767,2024,7.969780413531821,FALSE
GAB,Gabon,Sub-Saharan Africa,Upper middle income,NA,NA,NA,NA,NA,66.2634773830321,71.0549708273929,4.79149344436081,0.9325663864390245,Findex 2024,2024,66.2634773830321,71.0549708273929,4.79149344436081,0.9325663864390245,18923.6616609778,2024,6618.9868586134,2024,41.808,2024,NA,NA,NA,NA,91.8632094677575,2024,0.505,2023,68.72090149,2024,2538952,2024,9.848168357758924,FALSE
GMB,"Gambia, The",Sub-Saharan Africa,Low income,NA,NA,NA,NA,NA,66.5677629843551,62.9907034542792,-3.5770595300759,1.05678710244397,Findex 2024,2024,66.5677629843551,62.9907034542792,-3.5770595300759,1.05678710244397,3057.6841778633,2024,758.965888826955,2024,45.428,2024,116.372766553778,2021,NA,NA,64.2994103409645,2024,0.578,2023,49.49430084,2024,2759988,2024,8.025413103805404,FALSE
GEO,Georgia,Europe & Central Asia,Upper middle income,2024,84.4147,83.0962,-1.3185000000000002,1.0158671515664977,82.8937052498611,80.64600127282459,-2.247703977036508,1.0278712390144744,Findex 2024,2024,82.8937052498611,80.64600127282459,-2.247703977036508,1.0278712390144744,24146.6234108645,2024,6606.35772271858,2024,56.673,2024,97.8280378119792,2024,NA,NA,61.0789605093733,2024,0.257,2023,83.79855689,2024,3812518,2024,10.091899831949855,FALSE
GHA,Ghana,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,47.7402627052488,62.360834560358406,14.62057185510961,0.7655488102719583,Findex 2024,2024,47.7402627052488,62.360834560358406,14.62057185510961,0.7655488102719583,7072.79879594445,2024,2173.00329800201,2024,55.733,2024,76.4284133911133,2024,NA,NA,58.3654868038581,2024,0.514,2023,72.17569733,2024,34427414,2024,8.864011549854114,FALSE
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2021,48.5503,53.3763,4.8260000000000005,0.9095853403102124,64.8590538043272,78.0250506157921,13.165996811464892,0.8312593621208094,Findex 2024,2024,64.8590538043272,78.0250506157921,13.165996811464892,0.8312593621208094,12643.9841235004,2024,4564.21378502908,2024,38.42,2024,50.4821609334209,2024,NA,NA,55.9547027274763,2024,0.48,2023,60.22140121,2024,18406359,2024,9.444936817679896,FALSE
GIN,Guinea,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,25.3996134486269,36.6488695613154,11.2492561126885,0.6930531214921124,Findex 2024,2024,25.3996134486269,36.6488695613154,11.2492561126885,0.6930531214921124,4016.34191385979,2024,1045.92207475792,2024,42.882,2024,NA,NA,NA,NA,38.0713036688655,2024,0.609,2023,33.30469894,2024,14754785,2024,8.298126795660833,FALSE
HND,Honduras,Latin America & Caribbean,Lower middle income,2019,40.6984,37.9628,-2.735599999999998,1.0720600166478762,76.30025815111439,74.037428873683,-2.2628292774313934,1.0305633152292748,Findex 2024,2024,76.30025815111439,74.037428873683,-2.2628292774313934,1.0305633152292748,6590.84384301553,2024,2575.32081187859,2024,39.617,2024,56.205606327767,2024,NA,NA,58.7850728104829,2024,0.437,2023,58.62269974,2024,10825703,2024,8.79343666831499,FALSE
