country_code,country,internet_women,internet_men,gap_diff,gap_ratio,gdp_pc_ppp,log_gdp,flfp,sec_enroll_fem_gross,internet_total,urban_pct,gender_inequality_index
LSO,Lesotho,47.51,43.98,-3.530000000000001,1.0802637562528423,2697.62738436647,7.900127919137414,48.457,NA,51.79660034,43.6780334209246,0.534
LBR,Liberia,29.56,36.28,6.720000000000002,0.814773980154355,1646.05861366601,7.40613899036364,72.021,NA,32.23360062,55.5387986654968,0.646
LBY,Libya,81.95,79.09,-2.8599999999999994,1.0361613351877608,12583.8338726816,9.440168243179391,33.28,NA,81.95449829,87.8854066107749,0.253
MDG,Madagascar,7.52,14.91,7.390000000000001,0.5043594902749832,1659.15030770194,7.4140608874739335,82.915,35.2580222250234,18.67790031,32.4339893339844,0.584
MWI,Malawi,17.82,23.44,5.620000000000001,0.7602389078498293,1634.24660266597,7.398937183656944,58.534,37.2564052253575,18.96159935,17.268503531213,0.581
MYS,Malaysia,86.79,86.99,0.19999999999998863,0.9977008851592138,34116.2317848885,10.437528555438917,51.617,81.5357622372136,98.0206059,76.9170296648992,0.172
MLI,Mali,40.26,51.9,11.64,0.7757225433526012,2917.93245883671,7.978630582425785,53.093,37.1307560416794,36.80149841,31.6075621182225,0.612
MRT,Mauritania,56.87,63.04,6.170000000000002,0.9021256345177665,6482.69016635936,8.776890852325295,26.239,NA,45.77939987,60.6068586411829,0.603
MUS,Mauritius,72.52,81.88,9.36,0.885686370297997,27844.8956114831,10.234404947102506,47.45,93.386946088039707,73.30793533,39.0162147027917,0.352
MEX,Mexico,75.03,80.22,5.189999999999998,0.9353029169783097,21970.3520412926,9.99744918897775,47.414,109.978668212891,83.12233799,79.7538805976118,0.358
MDA,Moldova,78.45,78.93,0.480000000000004,0.9939186621056632,16393.8633257184,9.7046623563305,72.177,99.3201300620751,77.3687973,43.516471862793,0.146
MNG,Mongolia,89.39,84.1,-5.290000000000006,1.0629013079667065,16842.6505873797,9.731669673710963,52.1,99.3672996596348,85.12349701,70.9566040039062,0.284
MNE,Montenegro,83.56,84.08,0.519999999999996,0.9938154138915319,28105.5927726624,10.243723866573387,51.429,95.1452331542969,88.88258428,65.5422314706266,0.121
MAR,Morocco,62.57,67.09,4.520000000000003,0.9326278133850052,9162.7470703125,9.12290131121334,19.827,91.2537211746273,91.2,62.7998124018197,0.438
MOZ,Mozambique,19.99,34.28,14.290000000000003,0.5831388564760793,1500.70758504856,7.313691999229519,77.206,NA,20.52729988,36.4332337447237,0.479
NAM,Namibia,56.48,56.33,-0.14999999999999858,1.0026628794603232,10276.3686426386,9.237602231723974,54.911,86.3728889011327,64.87460327,50.4088030252155,0.448
NPL,Nepal,42.89,58.13,15.240000000000002,0.7378290039566489,5047.42449022702,8.52663339023894,27.378,90.8899312933145,46.32189941,66.772343163029,0.487
NIC,Nicaragua,73.99,75.53,1.5400000000000063,0.979610750695088,7661.09410113202,8.943910085580924,51.082,70.6665573120117,61.39550018,59.2628402709961,0.408
NER,Niger,13.85,17.37,3.5200000000000014,0.7973517559009786,1795.65266888022,7.4931238386675165,72.787,19.5379934744263,15.55760002,18.0497398450803,0.591
NGA,Nigeria,30.74,44.73,13.989999999999998,0.6872345182204337,7994.03754470824,8.986451235871227,80.714,47.4061508178711,41.21139908,62.9755675573659,0.677
MKD,North Macedonia,82.67,83.73,1.0600000000000023,0.9873402603606831,24203.1855800189,10.094239539019553,42.884,90.173713684082,93.6,62.5645376928533,0.112
PAK,Pakistan,13.6,57.21,43.61,0.23772067820311132,5502.0736120186,8.612880320533261,23.989,46.4835415439493,57.253,39.1734368360905,0.536
PRY,Paraguay,85.2,82.42,-2.780000000000001,1.0337296772628004,16367.4940166481,9.70305257475221,58.944,80.8023312507795,81.57806793,69.8622585886961,0.412
PER,Peru,74.25,82.09,7.840000000000003,0.9044950663905469,15708.8329440963,9.661978441036132,64.939,108.98267364502,81.95705992,85.1912729600355,0.34
PHL,Philippines,74.04,67.28,-6.760000000000005,1.1004756242568372,10378.1717703535,9.247460011183417,50.511,86.1154588164975,67.26300914,55.4520983215477,0.351
SEN,Senegal,67.76,72.68,4.920000000000002,0.9323059988992846,4477.81736836258,8.406891012129275,37.99,50.2150531512901,60.11780167,55.2368169057304,0.49
SRB,Serbia,77.4,81.25,3.8499999999999943,0.9526153846153846,26900.7415340646,10.19990913153209,52.619,88.5398788452148,87.69071294,62.3830029804177,0.117
SLE,Sierra Leone,32.72,32.79,0.07000000000000028,0.9978652028057334,3098.76290446676,8.03875824775114,51.815,91.7119293212891,25.10499954,45.3626823156371,0.566
ZAF,South Africa,65.61,71.39,5.780000000000001,0.9190362795909791,13597.6538495998,9.51765254578356,49.801,107.464974022043,78.35759735,63.6917984858172,0.388
LKA,Sri Lanka,36.87,49.88,13.010000000000005,0.7391740176423416,13793.0669827677,9.531921352350809,30.998,90.4491165297148,54.59,20.2996997058686,0.367
TJK,Tajikistan,55.19,70.23,15.040000000000006,0.7858465043428733,4755.93296704719,8.467148163314203,21.946,82.8936127916098,55.79339981,26.1788063651548,0.258
TZA,Tanzania,15.58,25.91,10.33,0.6013122346584331,3713.26293945313,8.219666267574178,80.288,29.2047595977783,31.16209984,36.1684458862992,0.504
THA,Thailand,86.45,85.08,-1.3700000000000045,1.0161024917724495,21882.2142474833,9.993429451026337,59.473,94.0628144371624,90.86718789,61.8689338391321,0.288
TGO,Togo,35.88,51.86,15.979999999999997,0.6918627072888547,3351.24993111939,8.117088668996463,56.604,59.0849653049812,39.48320007,43.8148491605996,0.564
TUN,Tunisia,64.69,71.42,6.730000000000004,0.9057686922430691,12774.9158568021,9.45523882849852,26.635,NA,76.5,70.3585355691955,0.238
TUR,Turkiye,83.67,91.35,7.679999999999993,0.9159277504105091,36154.490436557,10.495556436651539,36.786,116.872711181641,87.3078767,89.3443122873887,0.227
UGA,Uganda,30.48,47.15,16.669999999999998,0.6464475079533404,2879.67009290376,7.965431015493433,75.556,NA,8.949831061,31.2777698213557,0.524
UKR,Ukraine,93.31,96.68,3.3700000000000045,0.965142738932561,16371.44140625,9.703293718184032,47.738,86.3840713500977,82.47489929,69.5315643200148,NA
UZB,Uzbekistan,69.25,78.52,9.269999999999996,0.8819409067753439,10997.1707291644,9.305393312257658,41.273,96.4939184204858,89.50550079,50.9986686706543,0.291
VEN,"Venezuela, RB",88.14,90.68,2.5400000000000063,0.9719894133215703,NA,NA,37.332,102.248580932617,76.67890167,89.285859883201,0.512
VNM,Viet Nam,87.17,88.62,1.4500000000000028,0.9836380049650192,14396.4217369473,9.574734964195445,68.905,90.5445572317873,84.15,38.4900703430176,0.299
PSE,West Bank and Gaza,93.7,94.45,0.75,0.9920592906299629,4190.90911333626,8.340672961537754,18.934,92.1529721719084,86.63765334,87.1196014117004,NA
